Job Title,Key Skills,Functional Area
 Merchandiser, Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking,"Export , Import , Merchandising"
 Hiring ll Azure Devops and Management Lead ll Hyderabad, C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration,"IT Software - Application Programming , Maintenance"
 computer operator, Computer Operator| MS Office| Software services| Comm| Typing speed| WHO| Software| level,"Executive Assistant , Front Office , Data Entry"
 Operation Executive, operations management| mobilization| Resource Mobilization| general management| interview| Recruitment,"HR , Recruitment , Administration , IR"
 Customer Support Executive, Customer Support Executive| Customer service| Business Executive| process,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Corporate-Day Care Manager., Staff Training| Day Care| Recruitment,"Teaching , Education , Training , Counselling"
 Hiring going on for .US Inbound Tech Support/ Sales, process| Spot| Technical support| Night shift| International BPO,"ITES , BPO , KPO , LPO , Customer Service , Operations"
Deputy Manager- Performance/digital Marketing,digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo,"Marketing , Advertising , MR , PR , Media Planning"
" Technical Lead -(VoIP,Cisco Call Manager)", java| cisco call manager| visa| j2ee| sip| offshore| communication skills,IT Software - Telecom Software
 Relationship Manager, Sales| Business Development| Change Management| Mobile| mobiles| handset| mobile handset| Marketing| Relationship Management| Distribution Management| channel management| dealer management| Retailer,"Sales , Retail , Business Development"
" Technician, Technical Support", International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction,"IT Software - Application Programming , Maintenance"
 Graphic Designer, Illustrator| Corel Draw| Photoshop,"Design , Creative , User Experience"
 Consultant, Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics,"IT Software - Application Programming , Maintenance"
 Immediate Requirement for Fusion Technical Lead Developer, Technical Architecture| Fusion| Oracle Fusion,"IT Software - Application Programming , Maintenance"
 Layout Designer / Web Designer, Layout design| Corel Draw| Web designing| Photoshop,IT Software - Other
 International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc, Bpo Voice| Voice Process| International BPO,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Asp.net with Angular JS & Html5 - Hyderabad, HTML5| ASP,"IT Software - Application Programming , Maintenance"
 Sales Manager Product and Portfolio, Product training| Sales| Relationship| Banking| Recruitment,"Sales , Retail , Business Development"
 Key Accounts Manager, Customer profitability| Receivable management| Education| Relationship building| Transportation| Service| Monitoring| Key accounts,"Sales , Retail , Business Development"
 Store Head-leading Manufacturing Company, Stores| warehouse| Logistics,Purchase / Logistics / Supply Chain
 BPO Inbound Voice Tech Process - Customer Service Inbound Voice - Appl, BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Java Software Engineer, Linux| Agile| Python| Computer science| Coding| Fixed income| Machine learning| Asset management| JIRA| Financial services,"IT Software - Application Programming , Maintenance"
 Admin Executive, English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application,"HR , Recruitment , Administration , IR"
 Agm Finance for Automobile Company in Kolkata . Salary:7 Lpa, Credit Officers| Risk Management| Administration| Report Generation| Analysts| analytical skills,"Accounts , Finance , Tax , Company Secretary , Audit"
